cl objID RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000 umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag ingalaxy
6 1237655504034726255 256.674053 0.003 35.411746 0.003 20.573 0.049 18.849 0.009 18.145 0.007 17.880 0.007 17.747 0.016 nan
6 1237655504034661518 256.674161 0.042 35.519718 0.040 24.295 0.624 23.103 0.164 21.785 0.072 20.424 0.036 19.681 0.064 nan
6 1237655504034727187 256.674284 0.079 35.436457 0.082 24.709 0.692 24.554 0.490 23.059 0.221 21.443 0.084 20.449 0.131 nan
6 1237655504034661833 256.674345 0.085 35.503134 0.102 23.293 0.408 23.401 0.232 22.362 0.130 22.377 0.204 21.984 0.445 nan
6 1237655504034726639 256.675005 0.123 35.449959 0.098 24.304 0.705 24.104 0.398 22.626 0.161 21.641 0.105 20.824 0.188 0.0
6 1237655504034660552 256.675117 0.001 35.508651 0.001 17.877 0.011 16.404 0.004 15.898 0.004 15.732 0.004 15.671 0.006 nan
6 1237655504034660555 256.675930 0.045 35.505985 0.039 23.882 0.574 22.242 0.085 21.559 0.063 21.283 0.076 21.386 0.280 nan
3 1237655504034661565 256.676251 0.123 35.499625 0.105 22.691 0.343 22.488 0.145 21.464 0.082 20.850 0.077 20.544 0.207 nan
6 1237655504034727202 256.676724 0.091 35.419968 0.092 24.076 0.597 24.822 0.514 23.249 0.246 22.160 0.146 21.815 0.368 nan
3 1237655504034661613 256.676813 0.073 35.482155 0.075 22.931 0.286 23.167 0.177 22.345 0.116 22.175 0.153 22.293 0.465 nan
6 1237655504034660553 256.676946 0.046 35.507432 0.041 25.122 0.605 23.193 0.186 21.644 0.067 19.693 0.021 18.687 0.031 nan
6 1237655504034726653 256.677132 0.067 35.444649 0.072 22.811 0.271 22.693 0.126 22.197 0.108 22.594 0.223 21.608 0.332 0.0
6 1237655504034661578 256.677665 0.051 35.491560 0.049 24.508 0.679 23.072 0.167 21.807 0.076 20.810 0.050 20.264 0.108 nan
6 1237655504034726688 256.677805 0.031 35.428794 0.030 24.154 0.641 23.050 0.170 21.282 0.050 20.457 0.037 19.833 0.078 nan
6 1237655504034726272 256.677852 0.021 35.393283 0.021 23.763 0.514 22.373 0.094 20.897 0.036 20.001 0.025 19.703 0.067 nan
3 1237655504034660921 256.678155 0.011 35.475693 0.011 22.483 0.252 20.464 0.025 19.359 0.014 18.911 0.014 18.606 0.034 nan
3 1237655504034661556 256.678285 0.073 35.503302 0.094 24.005 0.687 22.733 0.141 21.956 0.099 21.770 0.132 21.571 0.367 nan
3 1237655504034661799 256.678418 0.074 35.529970 0.080 23.701 0.492 24.092 0.354 22.471 0.132 22.132 0.153 22.677 0.520 nan
3 1237655504034726679 256.678442 0.025 35.436640 0.025 22.953 0.352 21.448 0.051 20.456 0.030 20.062 0.032 19.642 0.078 1.0
6 1237655504034726703 256.678925 0.032 35.423925 0.032 22.578 0.224 21.780 0.059 21.253 0.048 21.040 0.059 21.050 0.210 nan
6 1237655504034660996 256.678966 0.010 35.511161 0.010 24.726 0.651 21.321 0.039 19.883 0.017 18.362 0.009 17.564 0.014 nan
6 1237655504034661492 256.679467 0.012 35.534711 0.012 23.695 0.491 21.381 0.041 20.077 0.020 19.103 0.014 18.558 0.027 nan
6 1237655504034726826 256.679622 0.037 35.382567 0.032 22.545 0.223 21.551 0.051 21.342 0.054 21.260 0.074 21.335 0.282 nan
6 1237655504034725944 256.679627 0.001 35.433388 0.001 20.383 0.043 17.808 0.006 16.479 0.004 15.790 0.004 15.403 0.005 0.0
6 1237655504034660920 256.679719 0.005 35.474512 0.005 20.129 0.037 19.235 0.010 18.957 0.010 18.837 0.012 18.752 0.031 0.0
6 1237655504034726300 256.679768 0.003 35.368659 0.003 19.697 0.028 18.435 0.007 17.969 0.006 17.821 0.007 17.830 0.017 nan
6 1237655504034661594 256.679787 0.043 35.486941 0.042 24.961 0.625 23.013 0.155 21.748 0.070 20.036 0.026 19.024 0.038 nan
3 1237655504034726215 256.679948 0.015 35.451575 0.013 21.051 0.157 19.491 0.021 18.340 0.011 17.823 0.011 17.361 0.025 1.0
3 1237655504034661114 256.679980 0.111 35.531764 0.095 21.568 0.170 21.657 0.086 21.301 0.088 20.878 0.098 22.859 1.026 nan
6 1237655504034726271 256.680352 0.003 35.393931 0.003 21.916 0.129 19.298 0.011 17.919 0.006 16.749 0.005 16.143 0.007 nan
3 1237655504034726427 256.680602 0.015 35.408533 0.014 21.927 0.231 20.192 0.027 19.073 0.015 18.607 0.015 18.267 0.037 nan
6 1237655504034727231 256.680602 0.089 35.374713 0.095 25.118 0.630 24.107 0.395 22.931 0.201 21.937 0.128 21.522 0.316 nan
6 1237655504034661113 256.680817 0.040 35.532224 0.041 24.541 0.649 24.169 0.377 21.780 0.072 21.230 0.069 20.793 0.161 nan
3 1237655504034726626 256.681170 0.077 35.460046 0.099 22.194 0.288 21.583 0.082 20.670 0.052 20.259 0.059 20.338 0.222 1.0
3 1237655504034726741 256.681272 0.095 35.412826 0.096 22.189 0.246 21.403 0.062 21.175 0.069 21.083 0.111 20.974 0.327 nan
3 1237655504034661140 256.681359 0.029 35.506650 0.035 21.746 0.134 21.198 0.042 20.560 0.033 20.511 0.048 20.293 0.135 nan
6 1237655504034726214 256.681457 0.003 35.456128 0.003 20.151 0.037 18.505 0.007 17.920 0.006 17.696 0.007 17.557 0.014 0.0
6 1237655504034661156 256.681851 0.021 35.471488 0.021 22.027 0.141 21.075 0.033 20.772 0.033 20.646 0.042 20.723 0.156 0.0
3 1237655504034726689 256.682651 0.041 35.430182 0.044 22.507 0.303 21.563 0.067 20.825 0.047 20.394 0.050 20.038 0.133 1.0
3 1237655504034727171 256.682709 0.135 35.463526 0.118 24.276 0.772 24.380 0.513 23.158 0.278 21.921 0.150 20.909 0.224 1.0
6 1237655504034727229 256.682734 0.073 35.382157 0.074 24.612 0.719 24.532 0.512 23.074 0.236 21.203 0.072 20.724 0.173 nan
6 1237655504034727184 256.684328 0.120 35.447797 0.129 24.694 0.692 24.115 0.383 24.032 0.444 22.262 0.170 21.214 0.244 0.0
6 1237655504034725953 256.684440 0.103 35.438051 0.102 24.585 0.712 24.676 0.524 23.686 0.370 21.974 0.137 21.640 0.359 0.0
3 1237655504034660879 256.684503 0.007 35.495419 0.007 20.978 0.102 19.153 0.013 18.013 0.007 17.563 0.008 17.220 0.016 nan
3 1237655504034661125 256.684576 0.018 35.519106 0.018 22.367 0.234 20.931 0.034 19.952 0.021 19.564 0.023 19.300 0.060 nan
6 1237655504034725954 256.684824 0.142 35.431898 0.116 23.770 0.600 22.611 0.129 22.399 0.141 21.853 0.134 21.950 0.466 0.0
3 1237655504034726641 256.685161 0.068 35.453659 0.060 23.330 0.517 22.291 0.111 21.245 0.061 20.850 0.068 20.474 0.174 1.0
